,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
1588,54.0,72.0,83.0,75.0,7.57,7.05,9.42,93.0,12.0,11.0,1.91,5.0,2.73,1.41,2.91,0.53,1.13,75.0,15.0,7.05,24.9,9.3,2.58,34.2,0.36
1589,54.0,46.0,39.0,89.0,9.43,8.57,9.67,91.0,15.0,12.0,6.26,8.0,2.92,1.65,4.0,0.87,1.23,75.0,15.1758,8.57,20.7,14.2,2.9,34.9,0.36
1590,59.0,64.0,65.0,83.0,8.84,7.51,9.04,85.0,13.0,11.0,2.87,7.0,2.77,1.61,3.13,1.34,0.54,57.0,15.3516,7.51,29.7,14.5,3.78,44.3,0.36
1591,58.0,56.0,42.0,60.0,6.2,5.6,9.38,90.0,10.0,8.0,3.4,3.0,1.53,1.24,2.84,0.6,0.84,65.0,14.4727,5.6,41.2,5.1,4.02,46.3,0.36
1592,57.0,68.0,64.0,55.0,6.16,5.58,10.15,91.0,12.0,11.0,8.68,3.0,2.01,1.55,2.02,0.59,1.53,75.0,15.1758,5.58,36.5,22.8,4.37,59.3,0.53
1593,56.0,49.0,36.0,75.0,8.2,7.3,9.68,89.0,14.0,11.0,13.47,5.0,2.68,1.93,2.7,0.92,1.72,70.0,14.8779,7.3,10.4,21.4,1.84,31.8,0.36
1594,55.0,55.0,48.0,73.0,7.67,7.1,9.67,93.0,12.0,14.0,3.36,5.0,2.67,1.58,2.84,0.58,1.23,81.0,15.293,7.1,20.5,17.3,3.71,37.9,0.36
1595,57.0,68.0,76.0,69.0,7.37,6.75,9.76,92.0,13.0,11.0,0.95,6.0,2.69,1.68,2.38,0.63,1.33,88.0,15.9961,6.75,23.1,15.1,3.29,38.2,0.36
1596,62.0,58.0,52.0,72.0,7.0,6.48,9.03,93.0,12.0,12.0,4.31,6.0,1.48,1.2,3.8,0.53,1.19,93.0,16.7578,6.48,5.0,6.8,1.03,11.8,0.36
1597,52.0,55.0,50.0,66.0,6.97,6.48,9.76,93.0,12.0,11.0,4.79,7.0,1.64,1.04,3.8,0.5,1.38,77.0,15.5859,6.48,24.4,11.6,3.73,35.9,0.36
1598,49.0,100.0,88.0,58.0,6.5,6.1,10.42,94.0,12.0,7.0,8.67,4.0,2.69,1.09,2.31,0.41,2.07,67.0,14.0039,6.1,33.1,26.7,4.55,59.8,0.36
1599,55.0,66.0,74.0,61.0,6.36,5.73,9.41,90.0,11.0,8.0,2.39,5.0,1.64,1.54,2.55,0.64,1.3,59.0,15.3516,5.73,20.9,19.0,1.7,39.9,0.36
1600,50.0,85.0,94.0,77.0,8.4,7.1,9.18,85.0,17.0,10.0,0.0,8.0,2.65,1.41,3.04,1.31,1.49,69.0,14.6289,7.1,30.7,25.8,3.61,56.5,0.6
1601,49.0,71.0,73.0,65.0,6.88,6.38,9.77,93.0,7.0,5.0,2.39,5.0,2.15,1.47,2.76,0.51,1.13,79.0,15.5859,6.38,26.6,24.3,3.35,50.9,0.36
1602,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1603,52.0,59.0,51.0,88.0,9.62,8.42,9.54,88.0,15.0,13.0,12.03,9.0,2.9,1.2,4.32,1.21,1.34,63.0,14.9707,8.42,32.9,10.7,3.26,43.6,0.36
1604,56.0,68.0,68.0,74.0,6.9,6.43,8.67,93.0,6.0,4.0,7.69,1.0,1.68,1.49,3.26,0.48,0.59,72.0,16.582,6.43,25.5,14.0,2.6,39.5,0.36
1605,55.0,75.0,73.0,78.0,8.15,7.57,9.67,93.0,12.0,10.0,0.0,5.0,2.32,1.57,3.67,0.59,1.28,80.0,16.6406,7.57,11.0,19.4,2.76,30.4,0.36
1606,53.0,72.0,68.0,71.0,7.29,6.54,9.26,90.0,12.0,9.0,0.0,3.0,1.33,0.92,4.29,0.76,1.08,65.0,15.9668,6.54,21.3,19.8,2.97,41.1,0.36
1607,48.0,63.0,49.0,60.0,5.47,5.24,8.81,96.0,12.0,6.0,2.4,2.0,1.64,1.0,2.6,0.23,1.11,72.0,15.4102,5.24,31.7,16.0,2.92,47.7,0.52
1608,51.0,70.0,64.0,52.0,6.04,5.56,10.65,92.0,12.0,7.0,13.46,4.0,1.1,1.45,3.01,0.48,2.07,75.0,14.6338,5.56,17.2,12.3,1.73,29.5,0.36
1609,53.0,56.0,48.0,64.0,6.55,6.11,9.59,93.0,5.0,4.0,3.35,3.0,2.3,1.94,1.87,0.45,1.84,83.0,14.2065,6.11,9.1,11.6,2.1,20.7,0.36
1610,58.0,56.0,43.0,63.0,7.43,6.55,10.4,88.0,11.0,7.0,12.02,3.0,2.61,1.01,2.93,0.88,1.77,74.0,14.7656,6.55,30.3,16.0,3.47,46.3,0.36
1611,53.0,46.0,35.0,72.0,8.32,7.29,10.09,88.0,11.0,8.0,10.59,5.0,2.75,2.4,2.14,1.04,1.82,81.0,14.4824,7.29,25.2,19.2,2.82,44.5,0.36
1612,60.0,55.0,35.0,37.0,3.92,3.48,9.41,89.0,4.0,2.0,11.55,4.0,1.09,0.64,1.75,0.44,1.38,75.0,15.8203,3.48,31.3,18.2,4.38,49.5,0.61
1613,55.0,68.0,74.0,66.0,7.7,7.26,11.06,94.0,11.0,10.0,0.0,5.0,2.41,1.74,3.1,0.46,2.41,56.0,14.8633,7.26,21.4,17.8,3.43,39.2,0.36
1614,56.0,66.0,73.0,77.0,8.4,7.99,10.37,95.0,12.0,12.0,0.0,6.0,2.48,1.63,3.88,0.42,1.67,70.0,14.4434,7.99,28.4,10.3,3.56,38.7,0.36
1615,54.0,55.0,39.0,79.0,8.6,7.65,9.73,89.0,9.0,6.0,0.0,4.0,0.85,0.9,5.89,0.97,1.53,54.0,14.3262,7.65,22.1,19.8,2.77,41.9,0.36
1616,57.0,55.0,36.0,57.0,5.74,5.46,9.56,95.0,5.0,4.0,0.0,3.0,1.54,1.13,2.79,0.28,1.03,59.0,15.7446,5.46,41.7,20.9,5.06,62.6,0.36
1617,60.0,60.0,31.0,44.0,4.63,4.43,10.14,96.0,4.0,3.0,0.0,2.0,0.77,0.51,3.16,0.2,1.64,64.0,17.1484,4.43,27.6,18.1,5.04,45.7,0.36
1618,61.0,50.0,21.0,53.0,6.12,5.3,10.08,87.0,9.0,5.0,0.0,3.0,1.94,0.98,2.38,0.83,2.14,72.0,17.4463,5.3,35.8,22.1,4.37,58.0,0.36
1619,58.0,58.0,52.0,57.0,5.87,5.7,9.97,97.0,12.0,5.0,0.0,4.0,1.71,1.13,2.86,0.18,1.8,78.0,17.5781,5.7,11.6,14.2,2.71,25.8,0.36
1620,57.0,65.0,83.0,91.0,9.39,8.74,9.57,93.0,9.0,7.0,0.95,6.0,2.95,1.79,4.0,0.66,1.64,55.0,14.4727,8.74,24.0,14.2,2.95,38.2,0.36
1621,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1622,53.0,46.0,58.0,90.0,9.24,8.74,9.71,95.0,11.0,10.0,2.4,8.0,3.18,1.17,4.38,0.51,1.11,66.0,15.918,8.74,34.4,12.7,4.35,47.1,0.36
1623,50.0,60.0,76.0,82.0,8.63,7.53,9.2,87.0,19.0,17.0,5.75,6.0,3.03,1.14,3.36,1.12,0.49,66.0,14.9414,7.53,35.1,13.2,4.17,48.3,0.36
