,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
418,56.0,137.0,77.0,65.0,6.79,6.52,10.08,96.0,7.0,6.0,0.0,3.0,0.78,1.26,4.48,0.28,1.43,73.0,15.161,6.52,11.5,18.6,2.58,45.3,0.378
419,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
420,59.0,120.0,64.0,66.0,7.25,6.83,10.28,94.0,14.87,12.0,0.0,6.0,1.35,1.33,4.15,0.43,1.35,77.0,15.82,6.83,18.6,18.3,2.42,34.5,0.378
421,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
422,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.36
423,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
424,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
425,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
426,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
427,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
428,66.0,91.0,41.0,71.0,8.43,7.33,10.29,87.0,21.0,14.0,0.0,8.0,2.78,1.46,3.09,1.11,1.31,78.0,14.531,7.33,33.0,17.3,3.62,52.8,0.378
429,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
430,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
431,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
432,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
433,69.0,71.0,34.0,65.0,7.91,7.4,11.35,94.0,11.0,10.0,4.79,6.0,2.45,1.44,3.51,0.52,2.78,62.587,16.816,7.4,31.0,18.2,4.96,46.5,0.378
434,71.0,72.0,33.0,56.0,6.47,5.83,10.5,90.0,12.0,11.0,0.0,4.0,1.39,1.02,3.43,0.64,1.74,62.587,16.641,5.83,21.5,15.8,3.61,48.3,0.378
435,68.0,80.0,36.0,50.0,4.86,4.68,9.38,96.0,14.87,5.0,0.0,2.0,1.53,0.84,2.32,0.18,2.19,62.587,16.655,6.46,31.5,17.3,3.76,50.9,0.378
436,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
437,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
438,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
439,77.0,54.0,24.0,61.0,6.76,6.21,10.21,92.0,14.87,15.0,0.0,5.0,2.52,0.83,2.86,0.56,1.44,84.0,15.176,6.21,37.3,12.3,2.61,33.3,0.378
440,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
441,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
442,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.35
443,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
444,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
445,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
446,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
447,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
448,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
449,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.35
450,74.0,55.0,19.0,64.0,7.48,6.7,10.48,90.0,16.0,13.0,0.0,2.0,1.94,1.07,3.7,0.79,1.51,89.0,14.473,6.7,25.9,14.3,4.88,53.3,0.378
